number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
10,0.42719382835101255,2025-07-10 15:50:33.028232,2025-07-10 15:50:54.956363,0 days 00:00:21.928131,64,0.3464737866992331,0.009024921753741791,3.3739863892335634e-05,PRUNED
11,0.5641272902603665,2025-07-10 15:50:54.975619,2025-07-10 15:52:59.849220,0 days 00:02:04.873601,32,0.14851395158019398,0.002109943002407671,5.676434946070663e-05,COMPLETE
12,0.29026036644165865,2025-07-10 15:52:59.875010,2025-07-10 15:53:03.598615,0 days 00:00:03.723605,64,0.11577855949940925,0.008958616781145776,0.0003258489611500267,PRUNED
13,0.3076181292189007,2025-07-10 15:53:03.616403,2025-07-10 15:53:07.332534,0 days 00:00:03.716131,32,0.31067832808023477,0.0013500796140063884,1.9216111205023868e-05,PRUNED
14,0.32883317261330763,2025-07-10 15:53:07.350238,2025-07-10 15:53:14.734498,0 days 00:00:07.384260,64,0.22829999665203735,0.003241987393482676,0.00013598588417423907,PRUNED
15,0.32883317261330763,2025-07-10 15:53:14.753340,2025-07-10 15:53:22.131783,0 days 00:00:07.378443,32,0.11356447631834982,0.0004458642020102272,0.001077410476000598,PRUNED
16,0.3172613307618129,2025-07-10 15:53:22.150222,2025-07-10 15:53:25.905010,0 days 00:00:03.754788,32,0.2696602853177215,0.0005447945162394709,1.4682664079772621e-06,PRUNED
17,0.39633558341369335,2025-07-10 15:53:25.926010,2025-07-10 15:53:44.289599,0 days 00:00:18.363589,64,0.3713684291026259,0.00438705624194482,1.734500127946739e-05,PRUNED
18,0.5371263259402121,2025-07-10 15:53:44.308505,2025-07-10 15:55:41.150671,0 days 00:01:56.842166,32,0.18784173625380568,0.000905224341969174,0.00015423109751443588,PRUNED
19,0.29604628736740596,2025-07-10 15:55:41.170068,2025-07-10 15:55:44.844451,0 days 00:00:03.674383,64,0.10053088927228555,0.0002102571784769981,0.001022757943620189,PRUNED
20,0.2796528447444552,2025-07-10 15:55:44.860958,2025-07-10 15:55:48.543957,0 days 00:00:03.682999,64,0.1559220004713397,0.00434150863090808,0.007764436042656404,PRUNED
21,0.5593056894889104,2025-07-10 15:55:48.560841,2025-07-10 15:57:59.488239,0 days 00:02:10.927398,32,0.14632286994660756,0.002357579744095676,7.922034729209609e-05,COMPLETE
22,0.3056894889103182,2025-07-10 15:57:59.513214,2025-07-10 15:58:03.202614,0 days 00:00:03.689400,32,0.20168855085475051,0.0019086339866625488,4.7572982187267205e-05,PRUNED
23,0.3326904532304725,2025-07-10 15:58:03.220555,2025-07-10 15:58:06.928174,0 days 00:00:03.707619,32,0.13955235003954286,0.005211647660166136,8.330277175217821e-06,PRUNED
24,0.31822565091610416,2025-07-10 15:58:06.944899,2025-07-10 15:58:10.634111,0 days 00:00:03.689212,32,0.27768840436855313,0.000546532980801489,1.0978212793295004e-06,PRUNED
25,0.2786885245901639,2025-07-10 15:58:10.651637,2025-07-10 15:58:14.339432,0 days 00:00:03.687795,32,0.20730448988296674,0.002024634522955147,6.99226898588631e-05,PRUNED
26,0.5544840887174542,2025-07-10 15:58:14.356438,2025-07-10 16:00:07.298125,0 days 00:01:52.941687,32,0.13992930268888443,0.0010231185637605757,2.3058152595948408e-05,COMPLETE
27,0.3018322082931533,2025-07-10 16:00:07.322304,2025-07-10 16:00:11.037631,0 days 00:00:03.715327,32,0.49950733965902444,0.00733550086552852,3.999216190727392e-06,PRUNED
28,0.31822565091610416,2025-07-10 16:00:11.055876,2025-07-10 16:00:14.844214,0 days 00:00:03.788338,16,0.25895472776208844,0.003348039404760132,0.0002100998921493418,PRUNED
29,0.28254580520732886,2025-07-10 16:00:14.861266,2025-07-10 16:00:18.579217,0 days 00:00:03.717951,64,0.1289397519311294,0.0001308095508228358,0.0009687173972104593,PRUNED
30,0.313404050144648,2025-07-10 16:00:18.596765,2025-07-10 16:00:22.278206,0 days 00:00:03.681441,32,0.16957837762998415,0.0020164377206645244,0.0026142266622807197,PRUNED
31,0.29604628736740596,2025-07-10 16:00:22.338783,2025-07-10 16:00:26.046596,0 days 00:00:03.707813,32,0.1606072408212101,0.0025497485099763026,9.472836875067789e-05,PRUNED
32,0.28254580520732886,2025-07-10 16:00:26.062904,2025-07-10 16:00:29.796353,0 days 00:00:03.733449,32,0.14272590688313913,0.0015423072504676298,5.1700096511403005e-05,PRUNED
33,0.3240115718418515,2025-07-10 16:00:29.820044,2025-07-10 16:00:33.542706,0 days 00:00:03.722662,32,0.10135834929550258,0.0007704913270526737,0.0005566501433529985,PRUNED
34,0.35872709739633557,2025-07-10 16:00:33.566117,2025-07-10 16:00:40.935830,0 days 00:00:07.369713,32,0.1998614349839654,0.006184386249052511,1.3985067244764242e-05,PRUNED
35,0.3201542912246866,2025-07-10 16:00:40.955328,2025-07-10 16:00:44.812518,0 days 00:00:03.857190,16,0.12505845642316163,0.003030491805502788,8.01369003046424e-05,PRUNED
36,0.35294117647058826,2025-07-10 16:00:44.850873,2025-07-10 16:00:52.181070,0 days 00:00:07.330197,32,0.15521967166470385,0.00031423957176870623,3.1815649848066566e-05,PRUNED
37,0.5583413693346191,2025-07-10 16:00:52.200697,2025-07-10 16:03:29.343582,0 days 00:02:37.142885,16,0.21346151297328347,0.0013807765745123518,2.5375461724144816e-06,COMPLETE
38,0.29315332690453233,2025-07-10 16:03:29.371333,2025-07-10 16:03:33.091514,0 days 00:00:03.720181,32,0.1879666279421045,1.2388168254716125e-05,0.0005172448551866636,PRUNED
39,0.3153326904532305,2025-07-10 16:03:33.109074,2025-07-10 16:03:36.799599,0 days 00:00:03.690525,64,0.40757351216092064,0.0007447858171845897,0.00022625925154688638,PRUNED
40,0.49083895853423337,2025-07-10 16:03:36.815916,2025-07-10 16:04:51.627249,0 days 00:01:14.811333,16,0.29858646375052744,0.004177397134538468,1.0754310122086708e-05,PRUNED
41,0.32883317261330763,2025-07-10 16:04:51.677456,2025-07-10 16:04:55.528147,0 days 00:00:03.850691,16,0.24593498147081527,0.0014704516508002958,3.140562205814346e-06,PRUNED
42,0.32594021215043395,2025-07-10 16:04:55.551525,2025-07-10 16:04:59.375276,0 days 00:00:03.823751,16,0.21758120647900941,0.002460415984375362,4.3259668586437565e-06,PRUNED
43,0.5824493731918997,2025-07-10 16:04:59.391923,2025-07-10 16:08:06.852579,0 days 00:03:07.460656,16,0.17666203781061465,0.0012146302816253153,2.0384019953402806e-06,COMPLETE
44,0.5506268081002893,2025-07-10 16:08:06.878086,2025-07-10 16:09:55.447506,0 days 00:01:48.569420,16,0.17691749922423278,0.0011066480021299154,1.573177226102414e-06,COMPLETE
45,0.3105110896817743,2025-07-10 16:09:55.472174,2025-07-10 16:09:59.175151,0 days 00:00:03.702977,64,0.14876213649488748,0.006058162813685895,1.1084477784205526e-06,PRUNED
46,0.3172613307618129,2025-07-10 16:09:59.216072,2025-07-10 16:10:02.982507,0 days 00:00:03.766435,16,0.11630518479994983,0.000678141492155476,5.430183955117954e-06,PRUNED
47,0.2970106075216972,2025-07-10 16:10:02.999158,2025-07-10 16:10:06.700476,0 days 00:00:03.701318,32,0.1687175972115776,0.0002657023126727892,0.0001243726288475465,PRUNED
48,0.31822565091610416,2025-07-10 16:10:06.717428,2025-07-10 16:10:10.428701,0 days 00:00:03.711273,64,0.23572604863606067,0.009147730839781385,3.348509363033197e-05,PRUNED
49,0.32208293153326906,2025-07-10 16:10:10.448776,2025-07-10 16:10:14.152337,0 days 00:00:03.703561,32,0.12902503428885567,0.00340863096829197,1.876733005544294e-06,PRUNED
50,0.36258437801350046,2025-07-10 16:10:14.169374,2025-07-10 16:10:21.467699,0 days 00:00:07.298325,64,0.1843148190517792,0.0004857662548125929,5.492080446023408e-05,PRUNED
51,0.4127290260366442,2025-07-10 16:10:21.524514,2025-07-10 16:10:40.298393,0 days 00:00:18.773879,16,0.21678421246980828,0.0013342730281798742,2.7164129481697944e-06,PRUNED
52,0.30665380906460943,2025-07-10 16:10:40.316442,2025-07-10 16:10:59.135711,0 days 00:00:18.819269,16,0.1980008739318628,0.0016743493115202307,1.0245987255327166e-06,PRUNED
53,0.43683702989392476,2025-07-10 16:10:59.153830,2025-07-10 16:11:17.931082,0 days 00:00:18.777252,16,0.2524229559184225,0.0011221501231858553,2.3664707718564427e-06,PRUNED
54,0.28351012536162007,2025-07-10 16:11:17.949071,2025-07-10 16:11:21.759078,0 days 00:00:03.810007,16,0.3249153323185532,0.002308687045733631,7.238101384304479e-06,PRUNED
55,0.304725168756027,2025-07-10 16:11:21.780423,2025-07-10 16:11:25.638967,0 days 00:00:03.858544,16,0.21779171544546566,0.004057263804651636,1.58664509496424e-06,PRUNED
56,0.3085824493731919,2025-07-10 16:11:25.681088,2025-07-10 16:11:29.392510,0 days 00:00:03.711422,32,0.10736406706143879,0.000387340323232529,0.00018932720553528512,PRUNED
57,0.5930568948891032,2025-07-10 16:11:29.409048,2025-07-10 16:14:31.543463,0 days 00:03:02.134415,16,0.1600960468442516,0.0009125453828332987,3.5161560154775886e-06,COMPLETE
58,0.3317261330761813,2025-07-10 16:14:31.567182,2025-07-10 16:14:35.249404,0 days 00:00:03.682222,64,0.16207668232758832,0.0009494489030565471,2.4277182618504552e-05,PRUNED
59,0.5467695274831244,2025-07-10 16:14:35.266321,2025-07-10 16:17:08.749137,0 days 00:02:33.482816,32,0.13472443115682736,0.0006887641019441481,4.1882351310198846e-06,PRUNED
